Timestamp,Class Period,"Participant ID (4 digits e.g. 7000, 7001)",Trial Number,Male or Female,Hand: Left (L) or Right (R),Hand: D for (Dominant - the one you write with) OR N (Non-Dominant),Distance (cm OR drop),age-range,Time (s)
,8-101,8011,1,m,l,n,21,child,
,8-101,8011,2,m,l,n,10,child,
,8-101,8011,3,m,l,n,8,child,
,8-101,8011,4,m,l,n,8,child,
,8-101,8011,5,m,l,n,17,child,
,8-101,8006,1,m,r,d,27,child,
,8-101,8006,2,m,r,d,11,child,
,8-101,8006,3,m,r,d,16,child,
,8-101,8006,4,m,r,d,19,child,
,8-101,8006,5,m,r,d,19,child,
,8-101,8006,1,m,l,n,10,child,
,8-101,8006,2,m,l,n,7,child,
,8-101,8006,3,m,l,n,16,child,
,8-101,8006,4,m,l,n,8,child,
,8-101,8006,5,m,l,n,21,child,
,8-101,8007,1,m,r,d,25,child,
,8-101,8007,2,m,r,d,17,child,
,8-101,8007,3,m,r,d,12,child,
,8-101,8007,4,m,r,d,9,child,
,8-101,8007,5,m,r,d,7,child,
,8-101,8007,1,m,l,n,13,child,
,8-101,8007,2,m,l,n,12,child,
,8-101,8007,3,m,l,n,14,child,
,8-101,8007,4,m,l,n,11,child,
,8-101,8007,5,m,l,n,4,child,
,8-101,8008,1,m,r,d,5,child,
,8-101,8008,2,m,r,d,2,child,
,8-101,8008,3,m,r,d,22,child,
,8-101,8008,4,m,r,d,8,child,
,8-101,8008,5,m,r,d,10,child,
,8-101,8008,1,m,l,n,2,child,
,8-101,8008,2,m,l,n,0,child,
,8-101,8008,3,m,l,n,4,child,
,8-101,8008,4,m,l,n,10,child,
,8-101,8008,5,m,l,n,8,child,
,8-101,8010,1,m,r,d,18,child,
,8-101,8010,2,m,r,d,9,child,
,8-101,8010,3,m,r,d,15,child,
,8-101,8010,4,m,r,d,11,child,
,8-101,8010,5,m,r,d,7,child,
,8-101,8010,1,m,l,n,17,child,
,8-101,8010,2,m,l,n,6,child,
,8-101,8010,3,m,l,n,13,child,
,8-101,8010,4,m,l,n,15,child,
,8-101,8010,5,m,l,n,17,child,
,8-101,8009,1,m,r,d,3,child,
,8-101,8009,2,m,r,d,10,child,
,8-101,8009,3,m,r,d,1,child,
,8-101,8009,4,m,r,d,6,child,
,8-101,8009,5,m,r,d,3,child,
,8-101,8009,1,m,l,n,21,child,
,8-101,8009,2,m,l,n,na,child,
,8-101,8009,3,m,l,n,na,child,
,8-101,8009,4,m,l,n,na,child,
,8-101,8009,5,m,l,n,na,child,
,8-101,8013,1,f,r,d,19,child,
,8-101,8013,2,f,r,d,3,child,
,8-101,8013,3,f,r,d,14,child,
,8-101,8013,4,f,r,d,20,child,
,8-101,8013,5,f,r,d,6,child,
,8-101,8013,1,f,l,n,8,child,
,8-101,8013,2,f,l,n,17,child,
,8-101,8013,3,f,l,n,4,child,
,8-101,8013,4,f,l,n,7.3,child,
,8-101,8013,5,f,l,n,2,child,
,8-101,8014,1,f,r,d,21.1,child,
,8-101,8014,2,f,r,d,15.4,child,
,8-101,8014,3,f,r,d,23,child,
,8-101,8014,4,f,r,d,30.3,child,
,8-101,8014,5,f,r,d,28.4,child,
,8-101,8014,1,f,l,n,11.1,child,
,8-101,8014,2,f,l,n,1.2,child,
,8-101,8014,3,f,l,n,5,child,
,8-101,8014,4,f,l,n,20,child,
,8-101,8014,5,f,l,n,18,child,
,8-101,8017,1,f,r,d,18,child,
,8-101,8017,2,f,r,d,22,child,
,8-101,8017,3,f,r,d,23,child,
,8-101,8017,4,f,r,d,20,child,
,8-101,8017,5,f,r,d,13,child,
,8-101,8017,1,f,l,n,16,child,
,8-101,8017,2,f,l,n,23,child,
,8-101,8017,3,f,l,n,19,child,
,8-101,8017,4,f,l,n,27,child,
,8-101,8017,5,f,l,n,12,child,
,8-101,8016,1,f,r,d,13,child,
,8-101,8016,2,f,r,d,12,child,
,8-101,8016,3,f,r,d,13,child,
,8-101,8016,4,f,r,d,8,child,
,8-101,8016,5,f,r,d,14,child,
,8-101,8016,1,f,l,n,22,child,
,8-101,8016,2,f,l,n,15,child,
,8-101,8016,3,f,l,n,15,child,
,8-101,8016,4,f,l,n,8,child,
,8-101,8016,5,f,l,n,15,child,
